마명,선행력,선입력,추입력,선행등급,선입등급,추입등급
골든드래곤,67.1,70.8,-2.0,B,B+,C
굿필승,45.9,45.3,1.4,D,D,B
글로벌파로아,22.9,31.3,-5.0,D,D,C
나올대왕,44.2,39.2,16.0,D,D,A+
노던타임,49.6,49.1,-4.4,D,D,C
늘가을,22.9,39.6,15.0,D,D,A+
동진최강,47.6,45.3,5.7,D,D,B+
럭키프랭크,75.8,70.8,-6.0,B+,B+,D
리월마,68.5,59.3,-3.3,B,C,C
마이티룩,53.1,58.4,6.2,C,C,B+
마이티스위트,68.8,77.1,-15.0,B,B+,D
문학크라운,33.4,30.0,-6.0,D,D,D
벌교그래미,81.3,72.9,-16.2,A,B+,D
베스트클론,73.3,70.0,-3.0,B+,B+,C
빅토리히트,60.7,61.1,-13.3,B,B,D
새내파워풀,28.8,32.5,11.0,D,D,A
서부특송,80.6,77.8,-13.3,A,B+,D
서울최강자,51.7,47.5,11.0,C,D,A
슈프림삭스,63.9,80.6,0.0,B,A,B
스마일링프린스,71.4,75.0,-10.0,B+,B+,D
승부사,64.6,66.7,-15.0,B,B,D
시크릿왕자,37.9,28.4,5.0,D,D,B+
아마존킹,62.5,65.6,-20.0,B,B,D
에클레어파워,38.4,56.7,12.0,D,C,A
에클레어퓨리,47.2,37.5,3.3,D,D,B
엑설런트마타,74.2,71.7,0.0,B+,B+,B
영원빅맨,59.3,49.1,15.6,C,D,A+
월드베리언스,23.2,31.5,10.0,D,D,A
월드피플,73.2,79.6,-11.1,B+,B+,D
자이언트스텝,62.5,70.0,7.0,B,B+,B+
캐롤챗,,,,N/A,N/A,N/A
캠프데이비드,73.2,71.3,1.1,B+,B+,B
탐라최강자,27.5,30.9,15.0,D,D,A+
트리스탄왕자,82.9,78.3,-8.0,A,B+,D
티나케이,34.2,40.0,19.0,D,D,A+
파워빅토리,33.4,33.4,17.1,D,D,A+
파워에치드,59.2,53.4,4.0,C,C,B
페어스카이즈,61.7,55.0,4.0,B,C,B
포에버드림,55.0,58.4,10.0,C,C,A
하남엘도라도,56.7,63.3,-22.0,C,B,D
하이러너,55.0,43.4,-1.0,C,D,C
하이퍼선더,16.7,28.4,2.0,D,D,B
학산마초,32.5,43.4,0.0,D,D,B
한강보스,50.4,53.4,-5.0,C,C,C
한우리,52.5,65.0,4.0,C,B,B
허쉬대보,19.3,34.4,-2.5,D,D,C
호크프린스,44.7,45.3,-2.9,D,D,C
히어로삭스,40.0,48.4,9.0,D,D,B+
